"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"26-Jun-2025","26-Jun-2025","CE","24,500.00","779.00","1,060.00","770.30","1,049.30","1,049.40","25,549.00","7,71,600","19,61,44,29,150.00","71,02,29,150.00","8,18,625","-2,68,950"
"25-Jun-2025","26-Jun-2025","CE","24,500.00","659.20","796.15","634.35","752.70","755.80","752.70","8,56,350","21,60,27,61,278.75","62,21,86,278.75","10,87,575","-2,73,675"
"24-Jun-2025","26-Jun-2025","CE","24,500.00","652.00","857.00","547.65","579.35","598.95","579.35","15,87,600","39,98,19,34,601.25","1,08,57,34,601.25","13,61,250","-38,475"
"23-Jun-2025","26-Jun-2025","CE","24,500.00","535.70","615.70","378.00","522.75","515.70","522.75","39,90,525","99,64,09,74,228.75","1,87,31,11,728.75","13,99,725","-2,08,500"
"20-Jun-2025","26-Jun-2025","CE","24,500.00","398.60","670.55","390.10","647.70","631.00","647.70","43,37,475","1,08,56,50,21,683.75","2,29,68,84,183.75","16,08,225","-1,99,575"
"19-Jun-2025","26-Jun-2025","CE","24,500.00","410.30","450.00","356.35","392.50","374.80","392.50","20,23,050","50,39,06,69,831.25","82,59,44,831.25","18,07,800","1,96,950"
"18-Jun-2025","26-Jun-2025","CE","24,500.00","471.85","547.05","394.90","420.50","410.25","420.50","14,83,200","37,00,62,31,522.50","66,78,31,522.50","16,10,850","89,625"
"17-Jun-2025","26-Jun-2025","CE","24,500.00","585.05","585.05","446.00","462.60","458.05","462.60","11,45,025","28,61,06,60,178.75","55,75,47,678.75","15,21,225","-97,650"
"16-Jun-2025","26-Jun-2025","CE","24,500.00","406.00","604.00","404.00","585.70","585.00","585.70","17,34,750","43,37,99,51,471.25","87,85,76,471.25","16,18,875","-1,01,400"
"13-Jun-2025","26-Jun-2025","CE","24,500.00","350.05","439.70","338.90","406.05","408.75","406.05","42,94,800","1,06,88,94,27,566.25","1,66,68,27,566.25","17,20,275","4,57,050"
"12-Jun-2025","26-Jun-2025","CE","24,500.00","759.00","811.75","520.00","540.90","523.55","540.90","8,70,450","21,85,42,51,462.50","52,82,26,462.50","12,63,225","12,075"
"11-Jun-2025","26-Jun-2025","CE","24,500.00","725.45","853.60","717.45","768.50","757.25","768.50","4,05,150","10,24,75,65,855.00","32,13,90,855.00","12,51,150","-38,700"
"10-Jun-2025","26-Jun-2025","CE","24,500.00","801.50","818.00","721.30","733.20","725.00","733.20","2,79,900","7,07,35,13,561.25","21,59,63,561.25","12,89,850","-13,425"
"09-Jun-2025","26-Jun-2025","CE","24,500.00","800.00","817.35","757.40","773.00","775.00","773.00","2,82,450","7,14,01,05,292.50","22,00,80,292.50","13,03,275","-21,450"
"06-Jun-2025","26-Jun-2025","CE","24,500.00","568.00","765.65","480.05","721.75","715.00","721.75","16,97,400","42,65,20,23,881.25","1,06,57,23,881.25","13,24,725","-1,04,100"
"05-Jun-2025","26-Jun-2025","CE","24,500.00","510.95","681.00","476.60","560.60","568.00","560.60","20,04,900","50,25,76,85,467.50","1,13,76,35,467.50","14,28,825","-1,62,150"
"04-Jun-2025","26-Jun-2025","CE","24,500.00","505.00","512.50","445.00","490.45","483.00","490.45","19,97,700","49,90,87,01,160.00","96,50,51,160.00","15,90,975","-1,24,650"
"03-Jun-2025","26-Jun-2025","CE","24,500.00","636.50","669.90","472.00","487.15","473.25","487.15","23,10,675","57,85,57,88,786.25","1,24,42,51,286.25","17,15,625","3,43,200"
"02-Jun-2025","26-Jun-2025","CE","24,500.00","580.00","637.90","461.00","609.55","590.80","609.55","18,46,275","46,23,98,70,401.25","1,00,61,32,901.25","13,72,425","32,850"
"30-May-2025","26-Jun-2025","CE","24,500.00","669.95","706.00","603.65","624.15","607.00","624.15","12,06,525","30,34,01,52,307.50","78,02,89,807.50","13,39,575","-74,400"
"29-May-2025","26-Jun-2025","CE","24,500.00","705.00","750.00","589.95","673.75","693.00","673.75","11,88,600","29,90,23,89,907.50","78,16,89,907.50","14,13,975","37,350"
"28-May-2025","26-Jun-2025","CE","24,500.00","745.55","780.00","656.70","668.65","656.70","668.65","6,18,375","15,58,57,04,493.75","43,55,16,993.75","13,76,625","75,000"
"27-May-2025","26-Jun-2025","CE","24,500.00","827.35","925.00","697.00","754.90","753.00","754.90","10,43,625","26,36,74,41,495.00","79,86,28,995.00","13,01,625","-14,850"
"26-May-2025","26-Jun-2025","CE","24,500.00","792.00","923.00","792.00","870.40","874.40","870.40","5,11,950","12,98,70,79,428.75","44,43,04,428.75","13,16,475","-49,575"
"23-May-2025","26-Jun-2025","CE","24,500.00","629.00","822.45","599.45","756.85","752.20","756.85","7,52,100","18,97,96,00,852.50","55,31,50,852.50","13,66,050","-88,950"
"22-May-2025","26-Jun-2025","CE","24,500.00","682.05","693.55","541.95","614.55","618.00","614.55","12,97,050","32,55,21,65,006.25","77,44,40,006.25","14,55,000","1,68,675"
"21-May-2025","26-Jun-2025","CE","24,500.00","720.50","890.00","688.00","744.50","735.00","744.50","4,54,275","11,47,78,65,802.50","34,81,28,302.50","12,86,325","-19,050"
"20-May-2025","26-Jun-2025","CE","24,500.00","897.10","919.25","694.75","708.15","716.55","708.15","4,91,175","12,40,41,24,765.00","37,03,37,265.00","13,05,375","1,65,900"
"19-May-2025","26-Jun-2025","CE","24,500.00","939.90","965.00","849.20","867.15","860.00","867.15","1,32,825","3,37,41,65,730.00","11,99,53,230.00","11,39,475","-11,925"
"16-May-2025","26-Jun-2025","CE","24,500.00","928.85","984.00","897.20","943.85","944.00","943.85","2,78,850","7,09,28,32,848.75","26,10,07,848.75","11,51,400","4,875"
"15-May-2025","26-Jun-2025","CE","24,500.00","700.05","1,010.00","627.00","949.00","942.00","949.00","9,87,825","24,99,60,41,418.75","79,43,28,918.75","11,46,525","30,075"
"14-May-2025","26-Jun-2025","CE","24,500.00","650.00","783.00","620.55","700.80","709.80","700.80","6,09,150","15,35,20,32,840.00","42,78,57,840.00","11,16,450","1,54,275"
"13-May-2025","26-Jun-2025","CE","24,500.00","921.55","948.60","662.55","679.30","684.00","679.30","6,33,525","15,99,96,83,208.75","47,83,20,708.75","9,62,175","52,725"
"12-May-2025","26-Jun-2025","CE","24,500.00","550.00","978.00","532.40","955.00","967.60","955.00","8,07,975","20,42,29,09,601.25","62,75,22,101.25","9,09,450","-1,77,000"
"09-May-2025","26-Jun-2025","CE","24,500.00","490.00","503.00","401.00","432.50","441.30","432.50","8,26,875","20,62,77,10,312.50","36,92,72,812.50","10,86,450","-40,125"
"08-May-2025","26-Jun-2025","CE","24,500.00","629.95","635.45","490.05","534.10","498.50","534.10","7,17,675","17,99,97,25,571.25","41,66,88,071.25","11,26,575","2,47,350"
"07-May-2025","26-Jun-2025","CE","24,500.00","594.05","666.00","530.25","613.65","611.85","613.65","4,60,650","11,56,54,17,686.25","27,94,92,686.25","8,79,225","1,07,175"
"06-May-2025","26-Jun-2025","CE","24,500.00","677.75","682.00","581.75","603.85","594.45","603.85","3,94,575","9,91,34,45,152.50","24,63,57,652.50","7,72,050","1,58,625"
"05-May-2025","26-Jun-2025","CE","24,500.00","655.20","729.95","627.00","670.85","684.35","670.85","3,16,425","7,96,60,36,425.00","21,36,23,925.00","6,13,425","70,950"
"02-May-2025","26-Jun-2025","CE","24,500.00","642.55","794.70","558.95","595.25","599.95","595.25","4,87,350","12,26,79,08,073.75","32,78,33,073.75","5,42,475","-34,875"
"30-Apr-2025","26-Jun-2025","CE","24,500.00","570.05","643.95","565.10","624.45","604.30","624.45","2,78,025","6,98,33,92,410.00","17,17,79,910.00","5,77,350","7,275"
"29-Apr-2025","26-Jun-2025","CE","24,500.00","651.70","692.00","596.90","605.30","610.95","605.30","3,86,775","9,72,15,51,858.75","24,55,64,358.75","5,70,075","45,225"
"28-Apr-2025","26-Jun-2025","CE","24,500.00","460.00","645.95","460.00","621.65","622.00","621.65","5,41,725","13,59,64,38,412.50","32,41,75,912.50","5,24,850","32,850"
"25-Apr-2025","26-Jun-2025","CE","24,500.00","635.65","652.75","416.75","477.10","465.00","477.10","5,95,800","14,89,70,73,067.50","29,99,73,067.50","4,92,000","44,775"
"24-Apr-2025","26-Jun-2025","CE","24,500.00","592.55","654.20","573.95","598.10","605.00","598.10","7,25,700","18,21,56,76,086.25","43,60,26,086.25","4,47,225","1,21,275"
"23-Apr-2025","26-Jun-2025","CE","24,500.00","595.00","639.70","520.15","618.90","619.00","618.90","3,53,175","8,85,87,72,202.50","20,59,84,702.50","3,25,950","-525"
"22-Apr-2025","26-Jun-2025","CE","24,500.00","505.05","562.35","480.30","533.05","525.00","533.05","4,75,200","11,89,93,53,341.25","25,69,53,341.25","3,26,475","-1,05,000"
"21-Apr-2025","26-Jun-2025","CE","24,500.00","396.95","538.45","384.00","505.15","507.15","505.15","4,19,625","10,48,08,89,433.75","20,00,76,933.75","4,31,475","-35,775"
"17-Apr-2025","26-Jun-2025","CE","24,500.00","225.75","387.90","212.00","366.80","360.60","366.80","6,59,025","16,35,93,28,766.25","21,32,16,266.25","4,67,250","1,01,775"
"16-Apr-2025","26-Jun-2025","CE","24,500.00","210.00","249.20","187.55","242.05","240.10","242.05","2,71,350","6,70,64,59,912.50","5,83,84,912.50","3,65,475","39,375"
"15-Apr-2025","26-Jun-2025","CE","24,500.00","248.00","271.45","207.20","212.10","222.30","212.10","3,93,450","9,73,01,11,830.00","9,05,86,830.00","3,26,100","4,425"
"11-Apr-2025","26-Jun-2025","CE","24,500.00","180.05","217.10","166.50","200.55","204.00","200.55","2,84,250","7,01,91,91,586.25","5,50,66,586.25","3,21,675","16,725"
"09-Apr-2025","26-Jun-2025","CE","24,500.00","132.00","147.60","120.95","132.65","134.10","132.65","2,87,400","7,07,87,96,685.00","3,74,96,685.00","3,04,950","15,675"
"08-Apr-2025","26-Jun-2025","CE","24,500.00","137.05","163.45","113.05","143.80","145.00","143.80","4,54,125","11,18,67,58,537.50","6,06,96,037.50","2,89,275","-16,575"
"07-Apr-2025","26-Jun-2025","CE","24,500.00","32.00","128.95","32.00","106.95","111.00","106.95","7,38,000","18,15,35,49,142.50","7,25,49,142.50","3,05,850","-7,575"
"04-Apr-2025","26-Jun-2025","CE","24,500.00","180.65","181.05","126.75","130.30","129.55","130.30","5,31,075","13,09,10,90,767.50","7,97,53,267.50","3,13,425","21,450"
"03-Apr-2025","26-Jun-2025","CE","24,500.00","200.00","219.10","192.90","206.20","203.75","206.20","2,08,500","5,15,18,40,161.25","4,35,90,161.25","2,91,975","24,375"
"02-Apr-2025","26-Jun-2025","CE","24,500.00","222.20","241.90","213.25","232.15","235.00","232.15","4,15,125","10,26,29,35,020.00","9,23,72,520.00","2,67,600","1,98,975"
"01-Apr-2025","26-Jun-2025","CE","24,500.00","273.65","314.10","213.75","218.10","213.75","218.10","1,48,950","3,68,47,57,638.75","3,54,82,638.75","68,625","50,925"
"28-Mar-2025","26-Jun-2025","CE","24,500.00","350.15","373.00","290.45","312.65","306.65","312.65","40,350","1,00,17,73,946.25","1,31,98,946.25","17,700","17,700"