"Date","Price","Open","High","Low","Vol.","Change %"
"26-06-2025","25,549.00","25,268.95","25,565.30","25,259.90","428.89M","1.21%"
"25-06-2025","25,244.75","25,150.35","25,266.80","25,125.05","260.58M","0.80%"
"24-06-2025","25,044.35","25,179.90","25,317.70","24,999.70","450.19M","0.29%"
"23-06-2025","24,971.90","24,939.75","25,057.00","24,824.85","248.53M","-0.56%"
"20-06-2025","25,112.40","24,787.65","25,136.20","24,783.65","574.65M","1.29%"
"19-06-2025","24,793.25","24,803.25","24,863.10","24,733.40","274.62M","-0.08%"
"18-06-2025","24,812.05","24,788.35","24,947.55","24,750.45","237.60M","-0.17%"
"17-06-2025","24,853.40","24,977.85","24,982.05","24,813.70","242.42M","-0.37%"
"16-06-2025","24,946.50","24,732.35","24,967.10","24,703.60","305.81M","0.92%"
"13-06-2025","24,718.60","24,473.00","24,754.35","24,473.00","318.71M","-0.68%"
"12-06-2025","24,888.20","25,164.45","25,196.20","24,825.90","328.31M","-1.01%"
"11-06-2025","25,141.40","25,134.15","25,222.40","25,081.30","301.25M","0.15%"
"10-06-2025","25,104.25","25,196.05","25,199.30","25,055.45","307.32M","0.00%"
"09-06-2025","25,103.20","25,160.10","25,160.10","25,077.15","279.22M","0.40%"
"06-06-2025","25,003.05","24,748.70","25,029.50","24,671.45","335.58M","1.02%"
"05-06-2025","24,750.90","24,691.20","24,899.85","24,613.10","388.41M","0.53%"
"04-06-2025","24,620.20","24,560.45","24,644.25","24,530.45","280.86M","0.32%"
"03-06-2025","24,542.50","24,786.30","24,845.10","24,502.15","349.29M","-0.70%"
"02-06-2025","24,716.60","24,669.70","24,754.40","24,526.15","311.10M","-0.14%"
"30-05-2025","24,750.70","24,812.60","24,863.95","24,717.40","853.89M","-0.33%"
"29-05-2025","24,833.60","24,825.10","24,892.60","24,677.30","345.37M","0.33%"
"28-05-2025","24,752.45","24,832.50","24,864.25","24,737.05","684.43M","-0.30%"
"27-05-2025","24,826.20","24,956.65","25,062.90","24,704.10","525.65M","-0.70%"
"26-05-2025","25,001.15","24,919.35","25,079.20","24,900.50","302.80M","0.60%"
"23-05-2025","24,853.15","24,639.50","24,909.05","24,614.05","270.47M","0.99%"
"22-05-2025","24,609.70","24,733.95","24,737.50","24,462.40","403.28M","-0.82%"
"21-05-2025","24,813.45","24,744.25","24,946.20","24,685.35","332.72M","0.52%"
"20-05-2025","24,683.90","24,996.20","25,010.35","24,669.70","414.80M","-1.05%"
"19-05-2025","24,945.45","25,005.35","25,062.95","24,916.65","255.25M","-0.30%"
"16-05-2025","25,019.80","25,064.65","25,070.00","24,953.05","432.72M","-0.17%"
"15-05-2025","25,062.10","24,694.45","25,116.25","24,494.45","500.82M","1.60%"
"14-05-2025","24,666.90","24,613.80","24,767.55","24,535.55","345.49M","0.36%"
"13-05-2025","24,578.35","24,864.05","24,973.80","24,547.50","422.98M","-1.39%"
"12-05-2025","24,924.70","24,420.10","24,944.80","24,378.85","368.71M","3.82%"
"09-05-2025","24,008.00","23,935.75","24,164.25","23,935.75","335.55M","-1.10%"
"08-05-2025","24,273.80","24,431.50","24,447.25","24,150.20","411.36M","-0.58%"
"07-05-2025","24,414.40","24,233.30","24,449.60","24,220.00","330.14M","0.14%"
"06-05-2025","24,379.60","24,500.75","24,509.65","24,331.80","302.35M","-0.33%"
"05-05-2025","24,461.15","24,419.50","24,526.40","24,400.65","291.47M","0.47%"
"02-05-2025","24,346.70","24,311.90","24,589.15","24,238.50","421.11M","0.05%"
"30-04-2025","24,334.20","24,342.05","24,396.15","24,198.75","424.45M","-0.01%"
"29-04-2025","24,335.95","24,370.70","24,457.65","24,290.75","357.56M","0.03%"
"28-04-2025","24,328.50","24,070.25","24,355.10","24,054.05","320.47M","1.20%"
"25-04-2025","24,039.35","24,289.00","24,365.45","23,847.85","387.74M","-0.86%"
"24-04-2025","24,246.70","24,277.90","24,347.85","24,216.15","358.77M","-0.34%"
"23-04-2025","24,328.95","24,357.60","24,359.30","24,119.95","415.04M","0.67%"
"22-04-2025","24,167.25","24,185.40","24,242.60","24,072.00","440.94M","0.17%"
"21-04-2025","24,125.55","23,949.15","24,189.55","23,903.65","406.15M","1.15%"
"17-04-2025","23,851.65","23,401.85","23,872.35","23,298.55","505.33M","1.77%"
"16-04-2025","23,437.20","23,344.10","23,452.20","23,273.05","348.42M","0.47%"
"15-04-2025","23,328.55","23,368.35","23,368.35","23,207.00","388.32M","2.19%"
"11-04-2025","22,828.55","22,695.40","22,923.90","22,695.40","402.16M","1.92%"
"09-04-2025","22,399.15","22,460.30","22,468.70","22,353.25","383.82M","-0.61%"
"08-04-2025","22,535.85","22,446.75","22,697.20","22,270.85","468.25M","1.69%"
"07-04-2025","22,161.60","21,758.40","22,254.00","21,743.65","647.11M","-3.24%"
"04-04-2025","22,904.45","23,190.40","23,214.70","22,857.45","466.78M","-1.49%"
"03-04-2025","23,250.10","23,150.30","23,306.50","23,145.80","283.20M","-0.35%"
"02-04-2025","23,332.35","23,192.60","23,350.00","23,158.45","340.97M","0.72%"
"01-04-2025","23,165.70","23,341.10","23,565.15","23,136.40","314.31M","-1.50%"
"28-03-2025","23,519.35","23,600.40","23,649.20","23,450.20","295.36M","-0.31%"
"27-03-2025","23,591.95","23,433.95","23,646.45","23,412.20","510.30M","0.45%"
"26-03-2025","23,486.85","23,700.95","23,736.50","23,451.70","278.59M","-0.77%"
"25-03-2025","23,668.65","23,751.50","23,869.60","23,601.40","338.22M","0.04%"
"24-03-2025","23,658.35","23,515.40","23,708.75","23,433.50","311.90M","1.32%"
"21-03-2025","23,350.40","23,168.25","23,402.70","23,132.80","540.97M","0.69%"
"20-03-2025","23,190.65","23,036.60","23,216.70","22,973.95","313.73M","1.24%"
"19-03-2025","22,907.60","22,874.95","22,940.70","22,807.95","323.99M","0.32%"
"18-03-2025","22,834.30","22,662.25","22,857.80","22,599.20","272.58M","1.45%"
"17-03-2025","22,508.75","22,353.15","22,577.00","22,353.15","251.10M","0.50%"
"13-03-2025","22,397.20","22,541.50","22,558.05","22,377.35","287.54M","-0.33%"
"12-03-2025","22,470.50","22,536.35","22,577.40","22,329.55","369.74M","-0.12%"
"11-03-2025","22,497.90","22,345.95","22,522.10","22,314.70","347.92M","0.17%"
"10-03-2025","22,460.30","22,521.85","22,676.75","22,429.05","293.86M","-0.41%"
"07-03-2025","22,552.50","22,508.65","22,633.80","22,464.75","289.77M","0.03%"
"06-03-2025","22,544.70","22,476.35","22,556.45","22,245.85","372.08M","0.93%"
"05-03-2025","22,337.30","22,073.05","22,394.90","22,067.80","305.94M","1.15%"
"04-03-2025","22,082.65","21,974.45","22,105.05","21,964.60","253.26M","-0.17%"
"03-03-2025","22,119.30","22,194.55","22,261.55","22,004.70","282.40M","-0.02%"